day,route_id,stop_name,hour,boarding_count,alighting_count,crowd_level
1,61,Burdi,6,6,6,MEDIUM
1,61,Panchasheel Square,6,13,9,MEDIUM
1,61,Rahate Colony,6,13,11,MEDIUM
1,61,Ajni Square,6,7,8,MEDIUM
1,61,Chatrapati Square,6,12,6,MEDIUM
1,61,Ujjwal Nagar,6,6,10,MEDIUM
1,61,Airport,6,13,7,MEDIUM
1,61,Chinchbhavan,6,11,12,MEDIUM
1,61,Khapri,6,9,6,MEDIUM
1,61,Ashokwan,6,9,9,MEDIUM
1,61,Mohgaon,6,12,8,MEDIUM
1,61,Butibori,6,6,6,MEDIUM
1,61,Burdi,7,13,12,MEDIUM
1,61,Panchasheel Square,7,8,7,MEDIUM
1,61,Rahate Colony,7,8,12,MEDIUM
1,61,Ajni Square,7,12,6,MEDIUM
1,61,Chatrapati Square,7,8,12,MEDIUM
1,61,Ujjwal Nagar,7,7,12,MEDIUM
1,61,Airport,7,13,9,MEDIUM
1,61,Chinchbhavan,7,12,7,MEDIUM
1,61,Khapri,7,12,8,MEDIUM
1,61,Ashokwan,7,6,10,MEDIUM
1,61,Mohgaon,7,13,8,MEDIUM
1,61,Butibori,7,7,12,MEDIUM
1,61,Burdi,8,18,24,PEAK
1,61,Panchasheel Square,8,19,11,PEAK
1,61,Rahate Colony,8,25,17,PEAK
1,61,Ajni Square,8,20,20,PEAK
1,61,Chatrapati Square,8,24,24,PEAK
1,61,Ujjwal Nagar,8,30,12,PEAK
1,61,Airport,8,25,11,PEAK
1,61,Chinchbhavan,8,15,10,PEAK
1,61,Khapri,8,20,23,PEAK
1,61,Ashokwan,8,16,14,PEAK
1,61,Mohgaon,8,20,23,PEAK
1,61,Butibori,8,27,12,PEAK
1,61,Burdi,9,17,19,PEAK
1,61,Panchasheel Square,9,29,24,PEAK
1,61,Rahate Colony,9,28,25,PEAK
1,61,Ajni Square,9,29,23,PEAK
1,61,Chatrapati Square,9,25,16,PEAK
1,61,Ujjwal Nagar,9,19,11,PEAK
1,61,Airport,9,26,18,PEAK
1,61,Chinchbhavan,9,19,23,PEAK
1,61,Khapri,9,20,19,PEAK
1,61,Ashokwan,9,27,14,PEAK
1,61,Mohgaon,9,19,17,PEAK
1,61,Butibori,9,16,24,PEAK
1,61,Burdi,10,20,11,PEAK
1,61,Panchasheel Square,10,28,25,PEAK
1,61,Rahate Colony,10,27,19,PEAK
1,61,Ajni Square,10,24,25,PEAK
1,61,Chatrapati Square,10,19,13,PEAK
1,61,Ujjwal Nagar,10,21,12,PEAK
1,61,Airport,10,19,18,PEAK
1,61,Chinchbhavan,10,20,16,PEAK
1,61,Khapri,10,20,20,PEAK
1,61,Ashokwan,10,30,12,PEAK
1,61,Mohgaon,10,19,20,PEAK
1,61,Butibori,10,29,22,PEAK
1,61,Burdi,11,14,12,MEDIUM
1,61,Panchasheel Square,11,9,10,MEDIUM
1,61,Rahate Colony,11,12,11,MEDIUM
1,61,Ajni Square,11,6,6,MEDIUM
1,61,Chatrapati Square,11,6,7,MEDIUM
1,61,Ujjwal Nagar,11,14,11,MEDIUM
1,61,Airport,11,8,12,MEDIUM
1,61,Chinchbhavan,11,6,12,MEDIUM
1,61,Khapri,11,10,7,MEDIUM
1,61,Ashokwan,11,14,12,MEDIUM
1,61,Mohgaon,11,13,12,MEDIUM
1,61,Butibori,11,7,11,MEDIUM
1,61,Burdi,12,7,3,LOW
1,61,Panchasheel Square,12,8,5,LOW
1,61,Rahate Colony,12,7,5,LOW
1,61,Ajni Square,12,7,3,LOW
1,61,Chatrapati Square,12,8,2,LOW
1,61,Ujjwal Nagar,12,4,4,LOW
1,61,Airport,12,2,2,LOW
1,61,Chinchbhavan,12,7,5,LOW
1,61,Khapri,12,3,4,LOW
1,61,Ashokwan,12,3,2,LOW
1,61,Mohgaon,12,6,3,LOW
1,61,Butibori,12,4,3,LOW
1,61,Burdi,13,8,2,LOW
1,61,Panchasheel Square,13,6,6,LOW
1,61,Rahate Colony,13,8,6,LOW
1,61,Ajni Square,13,3,2,LOW
1,61,Chatrapati Square,13,5,3,LOW
1,61,Ujjwal Nagar,13,6,4,LOW
1,61,Airport,13,7,3,LOW
1,61,Chinchbhavan,13,6,6,LOW
1,61,Khapri,13,3,4,LOW
1,61,Ashokwan,13,4,3,LOW
1,61,Mohgaon,13,3,6,LOW
1,61,Butibori,13,7,3,LOW
1,61,Burdi,14,3,2,LOW
1,61,Panchasheel Square,14,3,3,LOW
1,61,Rahate Colony,14,4,6,LOW
1,61,Ajni Square,14,3,6,LOW
1,61,Chatrapati Square,14,3,4,LOW
1,61,Ujjwal Nagar,14,4,2,LOW
1,61,Airport,14,8,5,LOW
1,61,Chinchbhavan,14,7,6,LOW
1,61,Khapri,14,8,5,LOW
1,61,Ashokwan,14,4,5,LOW
1,61,Mohgaon,14,8,4,LOW
1,61,Butibori,14,3,4,LOW
1,61,Burdi,15,5,3,LOW
1,61,Panchasheel Square,15,2,6,LOW
1,61,Rahate Colony,15,8,5,LOW
1,61,Ajni Square,15,5,2,LOW
1,61,Chatrapati Square,15,6,3,LOW
1,61,Ujjwal Nagar,15,3,3,LOW
1,61,Airport,15,5,3,LOW
1,61,Chinchbhavan,15,5,5,LOW
1,61,Khapri,15,8,3,LOW
1,61,Ashokwan,15,2,5,LOW
1,61,Mohgaon,15,4,4,LOW
1,61,Butibori,15,7,5,LOW
1,61,Burdi,16,13,7,MEDIUM
1,61,Panchasheel Square,16,14,7,MEDIUM
1,61,Rahate Colony,16,9,6,MEDIUM
1,61,Ajni Square,16,12,11,MEDIUM
1,61,Chatrapati Square,16,7,8,MEDIUM
1,61,Ujjwal Nagar,16,7,12,MEDIUM
1,61,Airport,16,11,12,MEDIUM
1,61,Chinchbhavan,16,7,12,MEDIUM
1,61,Khapri,16,12,12,MEDIUM
1,61,Ashokwan,16,6,11,MEDIUM
1,61,Mohgaon,16,9,10,MEDIUM
1,61,Butibori,16,13,7,MEDIUM
1,61,Burdi,17,14,27,HIGH
1,61,Panchasheel Square,17,12,24,HIGH
1,61,Rahate Colony,17,18,15,HIGH
1,61,Ajni Square,17,15,27,HIGH
1,61,Chatrapati Square,17,11,26,HIGH
1,61,Ujjwal Nagar,17,22,25,HIGH
1,61,Airport,17,14,15,HIGH
1,61,Chinchbhavan,17,14,19,HIGH
1,61,Khapri,17,17,12,HIGH
1,61,Ashokwan,17,21,27,HIGH
1,61,Mohgaon,17,18,14,HIGH
1,61,Butibori,17,15,17,HIGH
1,61,Burdi,18,15,16,HIGH
1,61,Panchasheel Square,18,18,23,HIGH
1,61,Rahate Colony,18,10,13,HIGH
1,61,Ajni Square,18,13,25,HIGH
1,61,Chatrapati Square,18,21,28,HIGH
1,61,Ujjwal Nagar,18,11,25,HIGH
1,61,Airport,18,22,15,HIGH
1,61,Chinchbhavan,18,21,18,HIGH
1,61,Khapri,18,11,18,HIGH
1,61,Ashokwan,18,14,24,HIGH
1,61,Mohgaon,18,16,15,HIGH
1,61,Butibori,18,17,19,HIGH
1,61,Burdi,19,17,26,HIGH
1,61,Panchasheel Square,19,16,17,HIGH
1,61,Rahate Colony,19,18,22,HIGH
1,61,Ajni Square,19,20,16,HIGH
1,61,Chatrapati Square,19,11,19,HIGH
1,61,Ujjwal Nagar,19,11,23,HIGH
1,61,Airport,19,14,23,HIGH
1,61,Chinchbhavan,19,10,17,HIGH
1,61,Khapri,19,15,22,HIGH
1,61,Ashokwan,19,11,20,HIGH
1,61,Mohgaon,19,11,13,HIGH
1,61,Butibori,19,13,13,HIGH
1,61,Burdi,20,11,26,HIGH
1,61,Panchasheel Square,20,19,13,HIGH
1,61,Rahate Colony,20,15,23,HIGH
1,61,Ajni Square,20,13,17,HIGH
1,61,Chatrapati Square,20,16,21,HIGH
1,61,Ujjwal Nagar,20,22,26,HIGH
1,61,Airport,20,22,16,HIGH
1,61,Chinchbhavan,20,20,28,HIGH
1,61,Khapri,20,11,20,HIGH
1,61,Ashokwan,20,19,25,HIGH
1,61,Mohgaon,20,14,26,HIGH
1,61,Butibori,20,22,16,HIGH
1,61,Burdi,21,10,11,MEDIUM
1,61,Panchasheel Square,21,6,9,MEDIUM
1,61,Rahate Colony,21,9,9,MEDIUM
1,61,Ajni Square,21,8,7,MEDIUM
1,61,Chatrapati Square,21,6,10,MEDIUM
1,61,Ujjwal Nagar,21,10,11,MEDIUM
1,61,Airport,21,9,9,MEDIUM
1,61,Chinchbhavan,21,6,7,MEDIUM
1,61,Khapri,21,8,10,MEDIUM
1,61,Ashokwan,21,14,7,MEDIUM
1,61,Mohgaon,21,9,11,MEDIUM
1,61,Butibori,21,12,10,MEDIUM
1,35,Pardi,6,12,9,MEDIUM
1,35,HB Town,6,6,11,MEDIUM
1,35,Wathoda Square,6,13,10,MEDIUM
1,35,Kharbi Square,6,14,11,MEDIUM
1,35,Dighori,6,14,6,MEDIUM
1,35,Manewada,6,12,11,MEDIUM
1,35,Chatrapati Square,6,13,8,MEDIUM
1,35,Pratap Nagar,6,12,12,MEDIUM
1,35,Trimurti Nagar,6,11,9,MEDIUM
1,35,Dharampeth,6,7,9,MEDIUM
1,35,Hingna,6,12,6,MEDIUM
1,35,YCCE,6,9,8,MEDIUM
1,35,Pardi,7,10,6,MEDIUM
1,35,HB Town,7,9,7,MEDIUM
1,35,Wathoda Square,7,13,8,MEDIUM
1,35,Kharbi Square,7,14,8,MEDIUM
1,35,Dighori,7,13,9,MEDIUM
1,35,Manewada,7,11,10,MEDIUM
1,35,Chatrapati Square,7,10,6,MEDIUM
1,35,Pratap Nagar,7,9,10,MEDIUM
1,35,Trimurti Nagar,7,9,10,MEDIUM
1,35,Dharampeth,7,9,8,MEDIUM
1,35,Hingna,7,7,8,MEDIUM
1,35,YCCE,7,8,8,MEDIUM
1,35,Pardi,8,27,11,PEAK
1,35,HB Town,8,18,14,PEAK
1,35,Wathoda Square,8,24,23,PEAK
1,35,Kharbi Square,8,28,19,PEAK
1,35,Dighori,8,17,13,PEAK
1,35,Manewada,8,30,15,PEAK
1,35,Chatrapati Square,8,28,14,PEAK
1,35,Pratap Nagar,8,21,24,PEAK
1,35,Trimurti Nagar,8,25,23,PEAK
1,35,Dharampeth,8,18,15,PEAK
1,35,Hingna,8,24,17,PEAK
1,35,YCCE,8,23,22,PEAK
1,35,Pardi,9,26,21,PEAK
1,35,HB Town,9,29,10,PEAK
1,35,Wathoda Square,9,27,17,PEAK
1,35,Kharbi Square,9,16,25,PEAK
1,35,Dighori,9,28,13,PEAK
1,35,Manewada,9,29,14,PEAK
1,35,Chatrapati Square,9,21,24,PEAK
1,35,Pratap Nagar,9,16,20,PEAK
1,35,Trimurti Nagar,9,27,10,PEAK
1,35,Dharampeth,9,22,13,PEAK
1,35,Hingna,9,26,12,PEAK
1,35,YCCE,9,30,25,PEAK
1,35,Pardi,10,30,12,PEAK
1,35,HB Town,10,19,15,PEAK
1,35,Wathoda Square,10,21,16,PEAK
1,35,Kharbi Square,10,23,24,PEAK
1,35,Dighori,10,15,13,PEAK
1,35,Manewada,10,28,14,PEAK
1,35,Chatrapati Square,10,28,22,PEAK
1,35,Pratap Nagar,10,23,17,PEAK
1,35,Trimurti Nagar,10,26,25,PEAK
1,35,Dharampeth,10,23,13,PEAK
1,35,Hingna,10,20,11,PEAK
1,35,YCCE,10,19,25,PEAK
1,35,Pardi,11,8,7,MEDIUM
1,35,HB Town,11,10,10,MEDIUM
1,35,Wathoda Square,11,11,7,MEDIUM
1,35,Kharbi Square,11,12,12,MEDIUM
1,35,Dighori,11,6,12,MEDIUM
1,35,Manewada,11,13,10,MEDIUM
1,35,Chatrapati Square,11,7,12,MEDIUM
1,35,Pratap Nagar,11,10,12,MEDIUM
1,35,Trimurti Nagar,11,6,10,MEDIUM
1,35,Dharampeth,11,10,7,MEDIUM
1,35,Hingna,11,8,11,MEDIUM
1,35,YCCE,11,12,7,MEDIUM
1,35,Pardi,12,6,3,LOW
1,35,HB Town,12,7,4,LOW
1,35,Wathoda Square,12,6,2,LOW
1,35,Kharbi Square,12,8,6,LOW
1,35,Dighori,12,6,6,LOW
1,35,Manewada,12,8,6,LOW
1,35,Chatrapati Square,12,4,4,LOW
1,35,Pratap Nagar,12,8,4,LOW
1,35,Trimurti Nagar,12,5,4,LOW
1,35,Dharampeth,12,3,2,LOW
1,35,Hingna,12,2,2,LOW
1,35,YCCE,12,3,2,LOW
1,35,Pardi,13,5,5,LOW
1,35,HB Town,13,3,3,LOW
1,35,Wathoda Square,13,2,3,LOW
1,35,Kharbi Square,13,8,6,LOW
1,35,Dighori,13,5,2,LOW
1,35,Manewada,13,3,3,LOW
1,35,Chatrapati Square,13,8,5,LOW
1,35,Pratap Nagar,13,8,5,LOW
1,35,Trimurti Nagar,13,4,3,LOW
1,35,Dharampeth,13,7,2,LOW
1,35,Hingna,13,2,4,LOW
1,35,YCCE,13,5,6,LOW
1,35,Pardi,14,7,4,LOW
1,35,HB Town,14,6,5,LOW
1,35,Wathoda Square,14,2,3,LOW
1,35,Kharbi Square,14,4,4,LOW
1,35,Dighori,14,2,3,LOW
1,35,Manewada,14,6,2,LOW
1,35,Chatrapati Square,14,2,2,LOW
1,35,Pratap Nagar,14,4,4,LOW
1,35,Trimurti Nagar,14,4,6,LOW
1,35,Dharampeth,14,2,2,LOW
1,35,Hingna,14,4,6,LOW
1,35,YCCE,14,2,2,LOW
1,35,Pardi,15,8,5,LOW
1,35,HB Town,15,6,2,LOW
1,35,Wathoda Square,15,5,2,LOW
1,35,Kharbi Square,15,3,4,LOW
1,35,Dighori,15,3,2,LOW
1,35,Manewada,15,7,5,LOW
